ASIN,Product Name,Category,Keyword,Unit Count,Number of Reviews,Average Review Score,Manufacturer,Price
B07TV4TS3S,"spa luxetique Travel Size Hand Cream Gift Set - Scented Hand Lotion for Dry Skin, Ideal Birthday Gift for Women, 6 x 1.0 oz",lotion,women,6,4489,4.5,,$9.94
B00W4TWD7I,"Jergens Skin Firming Body Lotion for Dry to Extra Dry Skin, Skin Tightening Cream with Collagen and Elastin, Hydralucence Blend Formula, 16.8 oz",lotion,women,17,9918,4.6,,$7.32
B0B5VZ1S3W,"Jergens Pure Hydration Body Lotion, Plant Based Moisturizer Hydrates Dry to Extra Dry Skin, Paraben and Cruelty Free, Fragrance Free Formula, 24hr Hydration, 13 oz Pump Bottle",lotion,women,13,206,4.6,,$8.81
B01M5BJEII,"OGX Radiant Glow + Argan Oil of Morocco Extra Hydrating Body Lotion for Dry Skin, Nourishing Creamy Body &amp; Hand Cream for Silky Soft Skin, Paraben-Free, Sulfated-Surfactants Free, 19.5 fl oz",lotion,women,20,7285,4.6,,$13.29
B0BHBVLJQR,"Scented Body Lotion For Women, Deep Moisturizing Hand Cream, Firming Body Butter For Dry Skin, Womens Luxury Stocking Stuffers And Fragrance Gifts That Smell Good, 10oz (Mango Pear)",lotion,women,10,108,3.7,,$13.99
B0859LBY9C,"Bevel All Day Body Lotion for Men with Shea Butter and Argan Oil, Lightweight Formula Softens and Smoothes Skin, 16 Oz",lotion,men,16,1240,4.6,,$10.99
B0CKH5GJFN,Every Man Jack Mens Amber + Sandalwood Hand &amp; Body Lotion for All Skin Types - Dermatologist Tested &amp; Hypoallergenic - Nourish Skin with Lightweight Fast Absorbing Lotion - 13.5oz 2 Bottles,lotion,men,27,21,4.6,,$19.99
B0CL58B43J,"EnaSkin Retinol Cream for Face, Moisturizer for Anti Aging &amp; Wrinkled Skin, Day and Night for Women &amp; Men, Retinol Collagen Facial Care Face and Neck 1.7 Fl Oz",lotion,men,2,718,4.8,,$19.99
B000BJUS6Q,Cool Moisture Body Lotion,lotion,men,16,2682,4.7,,$32.00
B0B2SL82J4,"Mens Face Moisturizer Cream - Anti Aging &amp; Wrinkle for Men with Collagen, Retinol, Vitamins E, Jojoba Oil - Face Lotion - Age Facial Skin Care - Eye Wrinkle - Day &amp; Night - Made in USA, 4 oz",lotion,men,4,1562,4.4,,$18.95
B08D4PXMVK,"Jack Black - Black Reserve Hydrating Body Lotion With Cardamom &amp; Cedarwood, 12 oz.",lotion,men,12,703,4.6,,$34.00
B09BGV2CJ6,"Lulu Candles, Sexy Man, Moisturizing Body Lotion, Soothing Shea Butter &amp; Aloe, Nourishes Dry Skin With Moisture, No Paraben, Dye Free, Non-Greasy - 16 Fl. Oz.",lotion,men,16,9,5,,$39.95
B0CFYWDMYC,"Old Spice Gentleman&#x27;s Blend Super Hydration Hand &amp; Body Lotion, Eucalyptus &amp; Coconut Cream, 17.0 FL OZ (Pack of 2)",lotion,men,34,593,4.6,,$19.94
B00AHH00MO,"Gold Bond Men&#x27;s Essentials Everyday Moisture Daily Body &amp; Hand Lotion, 14.5 oz., With Vitamin C",lotion,men,14,10905,4.7,,$9.99
B07L6VPNCH,"Men’s Daily Face Moisturizer, 5.07 fl. oz. - Hydrating &amp; Nourishing Facial Lotion for Men with Collagen, Witch Hazel &amp; Cica Extracts, Lightweight, Alcohol-Free",lotion,men,5,290,4.5,,$18.99
B078JC58JC,"Brickell Men&#x27;s Deep Moisture Body Lotion for Men, Natural and Organic Protects and Hydrates Dry Skin, 8 Ounce, Unscented",lotion,men,8,1857,4.5,,$25.00
B0C38X4CDG,"No. 128 Men&#x27;s Facial Lotion with Sunscreen SPF 50, 3.4 oz, Oil-Free, Lightweight Daily Face Moisturizer for Men, Includes Natural Extracts to Hydrate, Nourish &amp; Soothe, All Skin Types",lotion,men,3,7063,4.4,,$16.99
B0CN9TRZGT,"Mens Face Moisturizer Cream - Anti Aging &amp; Wrinkle for Men - Face Moisturizer For Men - Mens Face Lotion with Collagen, Retinol, Peptides, Jojoba Oil - Facial Men&#x27;s Skin Care - Day &amp; Night - 4.2 OZ",lotion,men,4,26,4.8,,$16.95
B09M7CV35V,"Men&#x27;s Face Moisturizer Cream - Anti Aging &amp; Wrinkle - Collagen, Hyaluronic Acid, Vitamins E &amp; A, Avocado Oil - 2 oz",lotion,men,2,3078,4.3,,$21.89
B07M68CHV9,"Australian Botanical Soap, Goat&#x27;s Milk &amp; Soya Bean Oil Pure Plant Oil Soap, 6.8 oz. 193g Bars - 8 Count - Packaging May Vary",soap,women,56,5918,4.7,,$25.99
B0BQKSPXLR,"Australian Botanical Soap, Sea Salt with Ocean Minerals and Valencia Orange Soaps | All Skin Types | Shea Butter Enriches | 6.8 oz. (193g) | 4 Bars of Each - 8 Pack",soap,women,54,63,4.8,,$24.99
B07CL4G9CF,"Crate 61, Vegan Natural Bar Soap, Dry Skin, Handmade Soap With Premium Essential Oils, Pack of 6 (Most Popular)",soap,women,24,36203,4.5,,$22.95
B074P2DH7K,"O Naturals 100% Natural Bar Soap - Assorted 6 PCS Soap Gift Set - Organic Ingredients &amp; Essential Oils - Spa Gifts for Women &amp; Men, Body Wash Soap Bar &amp; Face Soap for Acne - Triple Milled Soap Bars",soap,women,24,23082,4.4,,$19.99
B0779BY2S1,"Yardley London Soap Bath Bar Bundle - 10 Bars: English Lavender, Oatmeal and Almond, Aloe and Avocado, Cocoa Butter, Lemon Verbena 4 Ounce Bars (Pack of 10, Two of each)",soap,women,43,7468,4.6,,$21.88
B09W6WD625,MARLOWE. No. 102 Men&#x27;s Body Scrub Soap 7oz (Variety Trio) | Best Exfoliating Bar for Men | Made w/Natural Ingredients | Green Tea Extract | Features 3 Amazing Scents,soap,women,21,519,4.7,,$26.99
B086D7ZR9L,"Exfoliating Bar Soap Combo Set By Olivia Care - Rose Himalayan Salt + Lavender Latte- All Natural &amp; Organic - Moisturize, Detoxify, Hydrate - Makes Skin Soft &amp; Silky - 2 X 8 OZ",soap,women,16,91,4.3,,$10.99
B00XBGOPEW,"Bali Soap - Green Collection - Natural Soap Bar Gift Set, Face Soap or Body Soap, 6 pc Variety Soap Pack (Coconut, Papaya, Vanilla, Lemongrass, Jasmine, Ylang-Ylang) 3.5 Oz each",soap,women,21,12789,4.3,,$19.95
B0BVGM488J,"Kitsch Shea Butter Solid Body Wash Bar Soap for Women | Made in US | Hydrating &amp; Moisturizing Shea Butter Soap Bars | All Natural Body Soap | Zero Waste Bath Soap Bars | Paraben Free, 4 oz",soap,women,4,439,4.4,,$11.99
